缈	緲
亩	畝
镁	鎂
锰	錳
黾	黽
缗	緡
蛮	蠻
瞒	瞞
鳗	鰻
馒	饅
锚	錨
牦	氂 犛
鸣	鳴
铭	銘
弥	彌 瀰
祢	禰
猕	獼
绵	綿
鹋	鶓
门	門
扪	捫
钔	鍆
谟	謨
馍	饃
嬷	嬤
麽	麼
铓	鋩
霉	霉 黴
镅	鎇 鋂
鹛	鶥
蒙	蒙 矇 濛 懞
鹲	鸏
谋	謀
骂	罵
祃	禡
唛	嘜
杩	榪
缦	縵
谩	謾
镘	鏝
贸	貿
卖	賣
麦	麥
迈	邁
劢	勱
秘	祕 秘
觅	覓
谧	謐
幂	冪
面	面 麵 麪
庙	廟
焖	燜
懑	懣
没	沒
殁	歿
蓦	驀
万	萬 万 萬
镆	鏌
脉	脈
灭	滅
缪	繆
谬	謬
钼	鉬
谜	謎
梦	夢
妈	媽
蚂	螞
颟	顢
猫	貓
闷	悶
吗	嗎
么	麼
们	們
脑	腦
恼	惱
垴	堖
奶	奶 嬭
拟	擬
撵	攆
辇	輦
鸟	鳥
茑	蔦
袅	裊 嫋
钮	鈕
纽	紐
钕	釹
馁	餒
镎	鎿 錼
挠	撓
铙	鐃
蛲	蟯
柠	檸
狞	獰
咛	嚀
聍	聹
苧	薴
鲵	鯢
铌	鈮
鲇	鮎
鲶	鯰
傩	儺
馕	饢
农	農
浓	濃
脓	膿
侬	儂
哝	噥
秾	穠
驽	駑
纳	納
钠	鈉
呐	吶
难	難
讷	訥
闹	鬧
宁	寧 甯
泞	濘
拧	擰
腻	膩
昵	暱 昵
酿	釀
诺	諾
锘	鍩
聂	聶
镍	鎳
啮	齧 嚙
蹑	躡
镊	鑷
颞	顳
嗫	囁
蘖	櫱
陧	隉
内	內
谝	諞
钷	鉕
谱	譜
朴	樸 朴
镨	鐠
频	頻
贫	貧
颦	顰
嫔	嬪
盘	盤
蹒	蹣
狍	麃
飑	颮
评	評
凭	憑
苹	蘋 苹
鲆	鮃
冯	馮
罴	羆
鲏	鮍
骈	駢
缏	緶
旁	旁 傍
庞	龐
鳑	鰟
仆	僕 仆
镤	鏷
赔	賠
锫	錇 鉳
鹏	鵬
疱	皰
哌	呱
辟	闢 辟
骗	騙
骠	驃
辔	轡
抛	拋
噼	劈
纰	紕
铍	鈹
飘	飄
缥	縹
喷	噴
颇	頗
泼	潑
酦	醱
钋	釙
泺	濼
铺	鋪
扑	撲 扑
寝	寢
锓	鋟
请	請
顷	頃
苘	檾
庼	廎
启	啟 啓
岂	豈
绮	綺
浅	淺
谴	譴
缱	繾
绻	綣
羟	羥
龋	齲
齐	齊
骑	騎
脐	臍
蕲	蘄
鳍	鰭
骐	騏
颀	頎
锜	錡
蛴	蠐
荠	薺
鲯	鯕
钱	錢
潜	潛
钳	鉗
钤	鈐
权	權
铨	銓
诠	詮
颧	顴
辁	輇
鳈	鰁
强	強
墙	牆
蔷	薔
樯	檣
嫱	嬙
桥	橋
乔	喬
侨	僑
荞	蕎
峤	嶠
硚	礄
鞒	鞽
虬	虯
巯	巰
赇	賕
穷	窮
琼	瓊
茕	煢
鸲	鴝
癯	臞
群	群 羣
揿	撳
吣	唚
庆	慶
气	氣
弃	棄
讫	訖
碛	磧
堑	塹
纤	縴 纖
椠	槧
伣	俔
劝	勸
炝	熗
翘	翹
窍	竅
壳	殼
诮	誚
谯	譙
窃	竊
锲	鍥
箧	篋
惬	愜
却	卻
确	確
鹊	鵲
阕	闋
悫	愨
阒	闃
亲	親
钦	欽
嵚	嶔
骎	駸
轻	輕
倾	傾
氢	氫
栖	棲 栖
凄	淒 悽
桤	榿
缉	緝
签	簽 籤
迁	遷
